271.wav,eight performances a hundred and ten percent every time every time
272.wav,In the theater on time no attitude.
273.wav,She got trouble with the cast at one time because after the show she would do this little routine.
274.wav,We'd all have taken out bowels. And we're standing in this line and pearl would go out and she would announce whoever was in the house.
275.wav,Just a little extra something for the office and he ate it.
276.wav,Mr. Roberto for you people going to be begging for work.
277.wav,What I took away from that experience. Was that knowledge.
278.wav,How do you get in this business and stay in this business?
279.wav,And I got my next job in 1980 late 1982.
280.wav,Two years after the first year you become certain that your 15 minutes are up.
281.wav,Try to get a job as a limousine driver. I love driving.
282.wav,Why don't I do that and I was you know every day telling myself get up go down to the taxi and limousine commission and get your license.
283.wav,producing and starring in a little movie called variously
284.wav,And what about these kids who were trying to save one of these ponies?
285.wav,I did this movie street-smart. It came out in the spring of 1987. I was on I was off Broadway.
286.wav,There's this movie with this really vile violent pain.
287.wav,"And on the other hand, there's a stage play with this wonderful old man."
288.wav,"The reality, is that a lot of actors."
289.wav,Is all nobody else can do this?
290.wav,And I understand you're interested in.
291.wav,"And I said, yeah, I'm very interested in it. He said what I'm getting ready to read it. So now I know that your incident in them."
292.wav,"When I was in school, I took Theater Arts at Los Angeles City College had a wonderful Voice coach. There's name was Robert."
293.wav,Voice and diction and voice development and he plays such a nice Foundation course.
294.wav,Then you start working on stage. It's always working voice wise because in a large theater.
295.wav,You really have to be able to speak from here all the way back there without yelling.
296.wav,All my life ever since I first realized that somebody told me that I was a natural at this. I want to be in the movies.
297.wav,Red Butte news near scum called an actor prepares me just read about how different accomplished actors of the period went about working.
298.wav,"How do you prepare for a role, you know, so?"
299.wav,Guy get asked a lot. How do you prepare? How do you what do you do?
300.wav,And I never thought of that in those terms Charlie that part of the game is being in touch with who you are.
301.wav,I know some actors who are if they can't hide the can't.
302.wav,I find that there is some thing about the costume or the makeup that will like stamp the character for me.
303.wav,That's a movie about the 761st tank Battalion and outfit that fought in World War II a hundred and eighty six days in combat without let-up.
304.wav,Remember when the when they found out that the hundred and first were surrounded.
305.wav,And it was sitting in a staff meeting patent. Say my guys I can do it my guys will March a hundred miles and fight a battle.
306.wav,So many of the stories about black involvement in the wars in this country have not been told.
307.wav,Morgan this is what you were meant to do. You were meant to tell these stories.
308.wav,I'm basically lazy directing of the long-term engagement.
309.wav,"I love travel to I mean lazy, that's not"
310.wav,It's the same as getting a good review of someone saying you did real good work.
311.wav,Now what that's saying is that we have now narrowed the season down to five outstanding performances by a lead.
312.wav,Actor actress supporting actor supporting actors movie after that saw arbitrary as far as I'm concerned because there's no way to be best.
313.wav,Number one. It's my company Revelations entertainment. We come up with it. We produce it.
314.wav,It's caught on for some reason the rather and we're very proud of the fact that we have a lot of young but we have a very broad range of viewers.
315.wav,We don't set ourselves up reach. We just ask the questions. I was one of our mantras.
316.wav,I don't think well and genetics have anything to do with each other.
317.wav,"actually, if you're born in the US, it really doesn't matter of the condition of your"
318.wav,What matters is what you inherit from your nurturing from your environment?
319.wav,"If you are born into the super-rich, there you are."
